name,type,generation
Skiploom,Grass/Flying,2
Jumpluff,Grass/Flying,2
Aipom,Normal,2
Sunkern,Grass,2
Sunflora,Grass,2
Yanma,Bug/Flying,2
Wooper,Water/Ground,2
Quagsire,Water/Ground,2
Espeon,Psychic,2
Umbreon,Dark,2
Murkrow,Dark/Flying,2
Slowking,Water/Psychic,2
Misdreavus,Ghost,2
Unown,Psychic,2
Wobbuffet,Psychic,2
Girafarig,Normal/Psychic,2
Pineco,Bug,2
Forretress,Bug/Steel,2
Dunsparce,Normal,2
Gligar,Ground/Flying,2
Steelix,Steel/Ground,2
Snubbull,Fairy,2
Granbull,Fairy,2
Qwilfish,Water/Poison,2
Scizor,Bug/Steel,2
Shuckle,Bug/Rock,2
Heracross,Bug/Fighting,2
Sneasel,Dark/Ice,2
Teddiursa,Normal,2
Ursaring,Normal,2
Slugma,Fire,2
Magcargo,Fire/Rock,2
Swinub,Ice/Ground,2
Piloswine,Ice/Ground,2
Corsola,Water/Rock,2
Remoraid,Water,2
Octillery,Water,2
Delibird,Ice/Flying,2
Mantine,Water/Flying,2
Skarmory,Steel/Flying,2
Houndour,Dark/Fire,2
Houndoom,Dark/Fire,2
Kingdra,Water/Dragon,2
Phanpy,Ground,2
Donphan,Ground,2
Porygon2,Normal,2
Stantler,Normal,2
Smeargle,Normal,2
Tyrogue,Fighting,2
Hitmontop,Fighting,2
Smoochum,Ice/Psychic,2
Elekid,Electric,2
Magby,Fire,2
Miltank,Normal,2
Blissey,Normal,2
Raikou,Electric,2
Entei,Fire,2
Suicune,Water,2
Larvitar,Rock/Ground,2
Pupitar,Rock/Ground,2
Tyranitar,Rock/Dark,2
Lugia,Psychic/Flying,2
Ho Oh,Fire/Flying,2
Celebi,Psychic/Grass,2
Treecko,Grass,3
Grovyle,Grass,3
Sceptile,Grass,3
Torchic,Fire,3
Combusken,Fire/Fighting,3
Blaziken,Fire/Fighting,3
Mudkip,Water,3
Marshtomp,Water/Ground,3
Swampert,Water/Ground,3
Poochyena,Dark,3
Mightyena,Dark,3
Zigzagoon,Normal,3
Linoone,Normal,3
Wurmple,Bug,3
Silcoon,Bug,3
Beautifly,Bug/Flying,3
Cascoon,Bug,3
Dustox,Bug/Poison,3
Lotad,Water/Grass,3
Lombre,Water/Grass,3
Ludicolo,Water/Grass,3
Seedot,Grass,3
Nuzleaf,Grass/Dark,3
Shiftry,Grass/Dark,3
Taillow,Normal/Flying,3
Swellow,Normal/Flying,3
Wingull,Water/Flying,3
Pelipper,Water/Flying,3
Ralts,Psychic/Fairy,3
Kirlia,Psychic/Fairy,3
Gardevoir,Psychic/Fairy,3
Surskit,Bug/Water,3
Masquerain,Bug/Flying,3
Shroomish,Grass,3
Breloom,Grass/Fighting,3
Slakoth,Normal,3
Vigoroth,Normal,3
Slaking,Normal,3
Nincada,Bug/Ground,3
Ninjask,Bug/Flying,3
Shedinja,Bug/Ghost,3
Whismur,Normal,3
Loudred,Normal,3
Exploud,Normal,3
Makuhita,Fighting,3
Hariyama,Fighting,3
Azurill,Normal/Fairy,3
Nosepass,Rock,3
Skitty,Normal,3
Delcatty,Normal,3
Sableye,Dark/Ghost,3
Mawile,Steel/Fairy,3
Aron,Steel/Rock,3
Lairon,Steel/Rock,3
Aggron,Steel/Rock,3
Meditite,Fighting/Psychic,3
Medicham,Fighting/Psychic,3
Electrike,Electric,3
Manectric,Electric,3
Plusle,Electric,3
Minun,Electric,3
Volbeat,Bug,3
Illumise,Bug,3
Roselia,Grass/Poison,3
Gulpin,Poison,3
Swalot,Poison,3
Carvanha,Water/Dark,3
Sharpedo,Water/Dark,3
Wailmer,Water,3
Wailord,Water,3
Numel,Fire/Ground,3
Camerupt,Fire/Ground,3
Torkoal,Fire,3
Spoink,Psychic,3
Grumpig,Psychic,3
Spinda,Normal,3
Trapinch,Ground,3
Vibrava,Ground/Dragon,3
Flygon,Ground/Dragon,3
Cacnea,Grass,3
Cacturne,Grass/Dark,3
Swablu,Normal/Flying,3
Altaria,Dragon/Flying,3
Zangoose,Normal,3
Seviper,Poison,3
Lunatone,Rock/Psychic,3
Solrock,Rock/Psychic,3
Barboach,Water/Ground,3
Whiscash,Water/Ground,3
Corphish,Water,3
Crawdaunt,Water/Dark,3
Baltoy,Ground/Psychic,3
Claydol,Ground/Psychic,3
Lileep,Rock/Grass,3
Cradily,Rock/Grass,3
Anorith,Rock/Bug,3
Armaldo,Rock/Bug,3
Feebas,Water,3
Milotic,Water,3
Castform,Normal,3
Kecleon,Normal,3
Shuppet,Ghost,3
Banette,Ghost,3
Duskull,Ghost,3
Dusclops,Ghost,3
Tropius,Grass/Flying,3
Chimecho,Psychic,3
Absol,Dark,3
Wynaut,Psychic,3
Snorunt,Ice,3
Glalie,Ice,3
Spheal,Ice/Water,3
Sealeo,Ice/Water,3
Walrein,Ice/Water,3
Clamperl,Water,3
Huntail,Water,3
Gorebyss,Water,3
Relicanth,Water/Rock,3
Luvdisc,Water,3
Bagon,Dragon,3
Shelgon,Dragon,3
Salamence,Dragon/Flying,3
Beldum,Steel/Psychic,3
Metang,Steel/Psychic,3
Metagross,Steel/Psychic,3
Regirock,Rock,3
Regice,Ice,3
Registeel,Steel,3
Latias,Dragon/Psychic,3
Latios,Dragon/Psychic,3
Kyogre,Water,3
Groudon,Ground,3
Rayquaza,Dragon/Flying,3
Jirachi,Steel/Psychic,3
Deoxys,Psychic,3
Turtwig,Grass,4
Grotle,Grass,4
Torterra,Grass/Ground,4
Chimchar,Fire,4
Monferno,Fire/Fighting,4
Infernape,Fire/Fighting,4
Piplup,Water,4
Prinplup,Water,4
Empoleon,Water/Steel,4
Starly,Normal/Flying,4
Staravia,Normal/Flying,4
Staraptor,Normal/Flying,4
Bidoof,Normal,4
Bibarel,Normal/Water,4
Kricketot,Bug,4
Kricketune,Bug,4
Shinx,Electric,4
Luxio,Electric,4
Luxray,Electric,4
Budew,Grass/Poison,4
Roserade,Grass/Poison,4
Cranidos,Rock,4
Rampardos,Rock,4
Shieldon,Rock/Steel,4
Bastiodon,Rock/Steel,4
Burmy,Bug,4
Wormadam,Bug/Grass,4
Mothim,Bug/Flying,4
Combee,Bug/Flying,4
Vespiquen,Bug/Flying,4
Pachirisu,Electric,4
Buizel,Water,4
Floatzel,Water,4
Cherubi,Grass,4
Cherrim,Grass,4
Shellos,Water,4
Gastrodon,Water/Ground,4
Ambipom,Normal,4
Drifloon,Ghost/Flying,4
Drifblim,Ghost/Flying,4
Buneary,Normal,4
Lopunny,Normal,4
Mismagius,Ghost,4
Honchkrow,Dark/Flying,4
Glameow,Normal,4
Purugly,Normal,4
Chingling,Psychic,4
Stunky,Poison/Dark,4
Skuntank,Poison/Dark,4
Bronzor,Steel/Psychic,4
Bronzong,Steel/Psychic,4
Bonsly,Rock,4
Mime Jr,Psychic/Fairy,4
Happiny,Normal,4
Chatot,Normal/Flying,4
Spiritomb,Ghost/Dark,4
Gible,Dragon/Ground,4
Gabite,Dragon/Ground,4
Garchomp,Dragon/Ground,4
Munchlax,Normal,4
Riolu,Fighting,4
Lucario,Fighting/Steel,4
Hippopotas,Ground,4
Hippowdon,Ground,4
Skorupi,Poison/Bug,4
Drapion,Poison/Dark,4
Croagunk,Poison/Fighting,4
Toxicroak,Poison/Fighting,4
Carnivine,Grass,4
Finneon,Water,4
Lumineon,Water,4
Mantyke,Water/Flying,4
Snover,Grass/Ice,4
Abomasnow,Grass/Ice,4
Weavile,Dark/Ice,4
Magnezone,Electric/Steel,4
Lickilicky,Normal,4
Rhyperior,Ground/Rock,4
Tangrowth,Grass,4
Electivire,Electric,4
Magmortar,Fire,4
Togekiss,Fairy/Flying,4
Yanmega,Bug/Flying,4
Leafeon,Grass,4
Glaceon,Ice,4
Gliscor,Ground/Flying,4
Mamoswine,Ice/Ground,4
Porygon Z,Normal,4
Gallade,Psychic/Fighting,4
Probopass,Rock/Steel,4
Dusknoir,Ghost,4
Froslass,Ice/Ghost,4
Rotom,Electric/Ghost,4
Uxie,Psychic,4
Mesprit,Psychic,4
Azelf,Psychic,4
Dialga,Steel/Dragon,4
Palkia,Water/Dragon,4
Heatran,Fire/Steel,4
Regigigas,Normal,4
Giratina,Ghost/Dragon,4
Cresselia,Psychic,4
Phione,Water,4
Manaphy,Water,4
Darkrai,Dark,4
Shaymin,Grass,4
Arceus,Normal,4
Victini,Psychic/Fire,5
Snivy,Grass,5
Servine,Grass,5
Serperior,Grass,5
Tepig,Fire,5
Pignite,Fire/Fighting,5
Emboar,Fire/Fighting,5
Oshawott,Water,5
Dewott,Water,5
Samurott,Water,5
Patrat,Normal,5
Watchog,Normal,5
Lillipup,Normal,5
Herdier,Normal,5
Stoutland,Normal,5
Purrloin,Dark,5
Liepard,Dark,5
Pansage,Grass,5
Simisage,Grass,5
Pansear,Fire,5
Simisear,Fire,5
Panpour,Water,5
Simipour,Water,5
Munna,Psychic,5
Musharna,Psychic,5
Pidove,Normal/Flying,5
Tranquill,Normal/Flying,5
Unfezant,Normal/Flying,5
Blitzle,Electric,5
Zebstrika,Electric,5
Roggenrola,Rock,5
Boldore,Rock,5
Gigalith,Rock,5
Woobat,Psychic/Flying,5
Swoobat,Psychic/Flying,5
Drilbur,Ground,5
Excadrill,Ground/Steel,5
Audino,Normal,5
Timburr,Fighting,5
Gurdurr,Fighting,5
Conkeldurr,Fighting,5
Tympole,Water,5
Palpitoad,Water/Ground,5
Seismitoad,Water/Ground,5
Throh,Fighting,5
Sawk,Fighting,5
Sewaddle,Bug/Grass,5
Swadloon,Bug/Grass,5
Leavanny,Bug/Grass,5
Venipede,Bug/Poison,5
Whirlipede,Bug/Poison,5
Scolipede,Bug/Poison,5
Cottonee,Grass/Fairy,5
Whimsicott,Grass/Fairy,5
Petilil,Grass,5
Lilligant,Grass,5
Basculin,Water,5
Sandile,Ground/Dark,5
Krokorok,Ground/Dark,5
Krookodile,Ground/Dark,5
Darumaka,Fire,5
Darmanitan,Fire,5
Maractus,Grass,5
Dwebble,Bug/Rock,5
Crustle,Bug/Rock,5
Scraggy,Dark/Fighting,5
Scrafty,Dark/Fighting,5
Sigilyph,Psychic/Flying,5
Yamask,Ghost,5
Cofagrigus,Ghost,5
Tirtouga,Water/Rock,5
Carracosta,Water/Rock,5
Archen,Rock/Flying,5
Archeops,Rock/Flying,5
Trubbish,Poison,5
Garbodor,Poison,5
Zorua,Dark,5
Zoroark,Dark,5
Minccino,Normal,5
Cinccino,Normal,5
Gothita,Psychic,5
Gothorita,Psychic,5
Gothitelle,Psychic,5
Solosis,Psychic,5
Duosion,Psychic,5
Reuniclus,Psychic,5
Ducklett,Water/Flying,5
Swanna,Water/Flying,5
Vanillite,Ice,5
Vanillish,Ice,5
Vanilluxe,Ice,5
Deerling,Normal/Grass,5
Sawsbuck,Normal/Grass,5
Emolga,Electric/Flying,5
Karrablast,Bug,5
Escavalier,Bug/Steel,5
Foongus,Grass/Poison,5
Amoonguss,Grass/Poison,5
Frillish,Water/Ghost,5
Jellicent,Water/Ghost,5
Alomomola,Water,5
Joltik,Bug/Electric,5
Galvantula,Bug/Electric,5
Ferroseed,Grass/Steel,5
Ferrothorn,Grass/Steel,5
Klink,Steel,5
Klang,Steel,5
Klinklang,Steel,5
Tynamo,Electric,5
Eelektrik,Electric,5
Eelektross,Electric,5
Elgyem,Psychic,5
Beheeyem,Psychic,5
Litwick,Ghost/Fire,5
Lampent,Ghost/Fire,5
Chandelure,Ghost/Fire,5
Axew,Dragon,5
Fraxure,Dragon,5
Haxorus,Dragon,5
Cubchoo,Ice,5
Beartic,Ice,5
Cryogonal,Ice,5
Shelmet,Bug,5
Accelgor,Bug,5
Stunfisk,Ground/Electric,5
Mienfoo,Fighting,5
Mienshao,Fighting,5
Druddigon,Dragon,5
Golett,Ground/Ghost,5
Golurk,Ground/Ghost,5
Pawniard,Dark/Steel,5
Bisharp,Dark/Steel,5
Bouffalant,Normal,5
Rufflet,Normal/Flying,5
Braviary,Normal/Flying,5
Vullaby,Dark/Flying,5
Mandibuzz,Dark/Flying,5
Heatmor,Fire,5
Durant,Bug/Steel,5
Deino,Dark/Dragon,5
Zweilous,Dark/Dragon,5
Hydreigon,Dark/Dragon,5
Larvesta,Bug/Fire,5
Volcarona,Bug/Fire,5
Cobalion,Steel/Fighting,5
Terrakion,Rock/Fighting,5
Virizion,Grass/Fighting,5
Tornadus,Flying,5
Thundurus,Electric/Flying,5
Reshiram,Dragon/Fire,5
Zekrom,Dragon/Electric,5
Landorus,Ground/Flying,5
Kyurem,Dragon/Ice,5
Keldeo,Water/Fighting,5
Meloetta,Normal/Psychic,5
Genesect,Bug/Steel,5
Chespin,Grass,6
Quilladin,Grass,6
Chesnaught,Grass/Fighting,6
Fennekin,Fire,6
Braixen,Fire,6
Delphox,Fire/Psychic,6
Froakie,Water,6
Frogadier,Water,6
Greninja,Water/Dark,6
Bunnelby,Normal,6
Diggersby,Normal/Ground,6
Fletchling,Normal/Flying,6
Fletchinder,Fire/Flying,6
Talonflame,Fire/Flying,6
Scatterbug,Bug,6
Spewpa,Bug,6
Vivillon,Bug/Flying,6
Litleo,Fire/Normal,6
Pyroar,Fire/Normal,6
Flabebe,Fairy,6
Floette,Fairy,6
Florges,Fairy,6
Skiddo,Grass,6
Gogoat,Grass,6
Pancham,Fighting,6
Pangoro,Fighting/Dark,6
Furfrou,Normal,6
Espurr,Psychic,6
Meowstic,Psychic,6
Honedge,Steel/Ghost,6
Doublade,Steel/Ghost,6
Aegislash,Steel/Ghost,6
Spritzee,Fairy,6
Aromatisse,Fairy,6
Swirlix,Fairy,6
Slurpuff,Fairy,6
Inkay,Dark/Psychic,6
Malamar,Dark/Psychic,6
Binacle,Rock/Water,6
Barbaracle,Rock/Water,6
Skrelp,Poison/Water,6
Dragalge,Poison/Dragon,6
Clauncher,Water,6
Clawitzer,Water,6
Helioptile,Electric/Normal,6
Heliolisk,Electric/Normal,6
Tyrunt,Rock/Dragon,6
Tyrantrum,Rock/Dragon,6
Amaura,Rock/Ice,6
Aurorus,Rock/Ice,6
Sylveon,Fairy,6
Hawlucha,Fighting/Flying,6
Dedenne,Electric/Fairy,6
Carbink,Rock/Fairy,6
Goomy,Dragon,6
Sliggoo,Dragon,6
Goodra,Dragon,6
Klefki,Steel/Fairy,6
Phantump,Ghost/Grass,6
Trevenant,Ghost/Grass,6
Pumpkaboo,Ghost/Grass,6
Gourgeist,Ghost/Grass,6
Bergmite,Ice,6
Avalugg,Ice,6
Noibat,Flying/Dragon,6
Noivern,Flying/Dragon,6
Xerneas,Fairy,6
Yveltal,Dark/Flying,6
Zygarde,Dragon/Ground,6
Diancie,Rock/Fairy,6
Hoopa,Psychic/Ghost,6
Volcanion,Fire/Water,6
Rowlet,Grass/Flying,7
Dartrix,Grass/Flying,7
Decidueye,Grass/Ghost,7
Litten,Fire,7
Torracat,Fire,7
Incineroar,Fire/Dark,7
Popplio,Water,7
Brionne,Water,7
Primarina,Water/Fairy,7
Pikipek,Normal/Flying,7
Trumbeak,Normal/Flying,7
Toucannon,Normal/Flying,7
Yungoos,Normal,7
Gumshoos,Normal,7
Grubbin,Bug,7
Charjabug,Bug/Electric,7
Vikavolt,Bug/Electric,7
Crabrawler,Fighting,7
Crabominable,Fighting/Ice,7
Oricorio,Fire/Flying,7
Cutiefly,Bug/Fairy,7
Ribombee,Bug/Fairy,7
Rockruff,Rock,7
Lycanroc,Rock,7
Wishiwashi,Water,7
Mareanie,Poison/Water,7
Toxapex,Poison/Water,7
Mudbray,Ground,7
Mudsdale,Ground,7
Dewpider,Water/Bug,7
Araquanid,Water/Bug,7
Fomantis,Grass,7
Lurantis,Grass,7
Morelull,Grass/Fairy,7
Shiinotic,Grass/Fairy,7
Salandit,Poison/Fire,7
Salazzle,Poison/Fire,7
Stufful,Normal/Fighting,7
Bewear,Normal/Fighting,7
Bounsweet,Grass,7
Steenee,Grass,7
Tsareena,Grass,7
Comfey,Fairy,7
Oranguru,Normal/Psychic,7
Passimian,Fighting,7
Wimpod,Bug/Water,7
Golisopod,Bug/Water,7
Sandygast,Ghost/Ground,7
Palossand,Ghost/Ground,7
Pyukumuku,Water,7
Type Null,Normal,7
Silvally,Normal,7
Minior,Rock/Flying,7
Komala,Normal,7
Turtonator,Fire/Dragon,7
Togedemaru,Electric/Steel,7
Mimikyu,Ghost/Fairy,7
Bruxish,Water/Psychic,7
Drampa,Normal/Dragon,7
Dhelmise,Ghost/Grass,7
Jangmo O,Dragon,7
Hakamo O,Dragon/Fighting,7
Kommo O,Dragon/Fighting,7
Tapu Koko,Electric/Fairy,7
Tapu Lele,Psychic/Fairy,7
Tapu Bulu,Grass/Fairy,7
Tapu Fini,Water/Fairy,7
Cosmog,Psychic,7
Cosmoem,Psychic,7
Solgaleo,Psychic/Steel,7
Lunala,Psychic/Ghost,7
Nihilego,Rock/Poison,7
Buzzwole,Bug/Fighting,7
Pheromosa,Bug/Fighting,7
Xurkitree,Electric,7
Celesteela,Steel/Flying,7
Kartana,Grass/Steel,7
Guzzlord,Dark/Dragon,7
Necrozma,Psychic,7
Magearna,Steel/Fairy,7
Marshadow,Fighting/Ghost,7
Poipole,Poison,7
Naganadel,Poison/Dragon,7
Stakataka,Rock/Steel,7
Blacephalon,Fire/Ghost,7
Zeraora,Electric,7
Meltan,Steel,7
Melmetal,Steel,7
Grookey,Grass,8
Thwackey,Grass,8
Rillaboom,Grass,8
Scorbunny,Fire,8
Raboot,Fire,8
Cinderace,Fire,8
Sobble,Water,8
Drizzile,Water,8
Inteleon,Water,8
Skwovet,Normal,8
Greedent,Normal,8
Rookidee,Flying,8
Corvisquire,Flying,8
Corviknight,Flying/Steel,8
Blipbug,Bug,8
Dottler,Bug/Psychic,8
Orbeetle,Bug/Psychic,8
Nickit,Dark,8
Thievul,Dark,8
Gossifleur,Grass,8
Eldegoss,Grass,8
Wooloo,Normal,8
Dubwool,Normal,8
Chewtle,Water,8
Drednaw,Water/Rock,8
Yamper,Electric,8
Boltund,Electric,8
Rolycoly,Rock,8
Carkol,Rock/Fire,8
Coalossal,Rock/Fire,8
Applin,Grass/Dragon,8
Flapple,Grass/Dragon,8
Appletun,Grass/Dragon,8
Silicobra,Ground,8
Sandaconda,Ground,8
Cramorant,Flying/Water,8
Arrokuda,Water,8
Barraskewda,Water,8
Toxel,Electric/Poison,8
Toxtricity,Electric/Poison,8
Sizzlipede,Fire/Bug,8
Centiskorch,Fire/Bug,8
Clobbopus,Fighting,8
Grapploct,Fighting,8
Sinistea,Ghost,8
Polteageist,Ghost,8
Hatenna,Psychic,8
Hattrem,Psychic,8
Hatterene,Psychic/Fairy,8
Impidimp,Dark/Fairy,8
Morgrem,Dark/Fairy,8
Grimmsnarl,Dark/Fairy,8
Obstagoon,Dark/Normal,8
Perrserker,Steel,8
Cursola,Ghost,8
Sirfetchd,Fighting,8
Mr Rime,Ice/Psychic,8
Runerigus,Ground/Ghost,8
Milcery,Fairy,8
Alcremie,Fairy,8
Falinks,Fighting,8
Pincurchin,Electric,8
Snom,Ice/Bug,8
Frosmoth,Ice/Bug,8
Stonjourner,Rock,8
Eiscue,Ice,8
Indeedee,Psychic/Normal,8
Morpeko,Electric/Dark,8
Cufant,Steel,8
Copperajah,Steel,8
Dracozolt,Electric/Dragon,8
Arctozolt,Electric/Ice,8
Dracovish,Water/Dragon,8
Arctovish,Water/Ice,8
Duraludon,Steel/Dragon,8
Dreepy,Dragon/Ghost,8
Drakloak,Dragon/Ghost,8
Dragapult,Dragon/Ghost,8
Zacian,Fairy,8
Zamazenta,Fighting,8
Eternatus,Poison/Dragon,8
Kubfu,Fighting,8
Urshifu,Fighting/Dark,8
Zarude,Dark/Grass,8
Regieleki,Electric,8
Regidrago,Dragon,8
Glastrier,Ice,8
Spectrier,Ghost,8
Calyrex,Psychic/Grass,8
Wyrdeer,Normal/Psychic,8
Kleavor,Bug/Rock,8
Ursaluna,Ground/Normal,8
Basculegion,Water/Ghost,8
Sneasler,Fighting/Poison,8
Overqwil,Dark/Poison,8
Enamorus,Fairy/Flying,8
Sprigatito,Grass,9
Floragato,Grass,9
Meowscarada,Grass/Dark,9
Fuecoco,Fire,9
Crocalor,Fire,9
Skeledirge,Fire/Ghost,9
Quaxly,Water,9
Quaxwell,Water,9
Quaquaval,Water/Fighting,9
Lechonk,Normal,9
Oinkologne,Normal,9
Tarountula,Bug,9
Spidops,Bug,9
Nymble,Bug,9
Lokix,Bug/Dark,9
Pawmi,Electric,9
Pawmo,Electric/Fighting,9
Pawmot,Electric/Fighting,9
Tandemaus,Normal,9
Maushold,Normal,9
Fidough,Fairy,9
Dachsbun,Fairy,9
Smoliv,Grass/Normal,9
Dolliv,Grass/Normal,9
Arboliva,Grass/Normal,9
Squawkabilly,Normal/Flying,9
Nacli,Rock,9
Naclstack,Rock,9
Garganacl,Rock,9
Charcadet,Fire,9
Armarouge,Fire/Psychic,9
Ceruledge,Fire/Ghost,9
Tadbulb,Electric,9
Bellibolt,Electric,9
Wattrel,Electric/Flying,9
Kilowattrel,Electric/Flying,9
Maschiff,Dark,9
Mabosstiff,Dark,9
Shroodle,Poison/Normal,9
Grafaiai,Poison/Normal,9
Bramblin,Grass/Ghost,9
Brambleghast,Grass/Ghost,9
Toedscool,Ground/Grass,9
Toedscruel,Ground/Grass,9
Klawf,Rock,9
Capsakid,Grass,9
Scovillain,Grass/Fire,9
Rellor,Bug,9
Rabsca,Bug/Psychic,9
Flittle,Psychic,9
Espathra,Psychic,9
Tinkatink,Fairy/Steel,9
Tinkatuff,Fairy/Steel,9
Tinkaton,Fairy/Steel,9
Wiglett,Water,9
Wugtrio,Water,9
Bombirdier,Flying/Dark,9
Finizen,Water,9
Palafin,Water,9
Varoom,Steel/Poison,9
Revavroom,Steel/Poison,9
Cyclizar,Dragon/Normal,9
Orthworm,Steel,9
Glimmet,Rock/Poison,9
Glimmora,Rock/Poison,9
Greavard,Ghost,9
Houndstone,Ghost,9
Flamigo,Flying/Fighting,9
Cetoddle,Ice,9
Cetitan,Ice,9
Veluza,Water/Psychic,9
Dondozo,Water,9
Tatsugiri,Dragon/Water,9
Annihilape,Fighting/Ghost,9
Clodsire,Poison/Ground,9
Farigiraf,Normal/Psychic,9
Dudunsparce,Normal,9
Kingambit,Dark/Steel,9
Great Tusk,Ground/Fighting,9
Scream Tail,Fairy/Psychic,9
Brute Bonnet,Grass/Dark,9
Flutter Mane,Ghost/Fairy,9
Slither Wing,Bug/Fighting,9
Sandy Shocks,Electric/Ground,9
Iron Treads,Ground/Steel,9
Iron Bundle,Ice/Water,9
Iron Hands,Fighting/Electric,9
Iron Jugulis,Dark/Flying,9
Iron Moth,Fire/Poison,9
Iron Thorns,Rock/Electric,9
Frigibax,Dragon/Ice,9
